teprenon||teprenone|teprenona|teprenonum|stepronin|eplerenone|eplerenona|loteprednol|serenoa|verbenone|arterenol
shitaki sentan||sitaxsentan|sitaxentan|sparsentan|atrasentan|ambrisentan|hinoki leaf|darusentan|macitentan|clazosentan|tezosentan
ethyl ester of iodinated poppy-seed oil fatty acid||methyl ester nonanoic acid|dimethyl ether of triethylene glycol|diethylene triamine pentaacetic acid|diethylenetriamine pentaacetic acid|ethyl dimethyl ammonio propane sulfonate|5-methyltetrahydropteroylglutamic acid|diethylenetriaminepentaacetic acid|ethylenediaminetetraacetic acid|technetium tc 99m diisopropyl-iminodiacetic acid|terephthalylidene dicamphor sulfonic acid
2339a19||fr236913|gs-9191|at-7519|tm30339|slv319|pas219|xav-19|at1391|ak119|gsk-239512
other vitamins||oleovitamin d2|oleovitamin d3|anhydrovitamin a|methyl vitamin b12|oxidized vitamin c|tenitramine|previtamin d|provitamin b|thenyldiamine|terbinafine
b_placebo||balance|baclofeno|belatacept|platino|lacteol|btpaba|carboplatino|ganaplacide|pefloxacino|bolasterone
shiratsuru reishi||spiritus vini|sterculia resin|saccharated pepsin|rfaudraksha resin|schizandra fruit|schisandra fruit|sotrastaurinum|sotrastaurina|sotrastaurin|shigru leaf
233922401||cep-26401|ap-22408|cp-122721|npi 32101|lgd2941|at2220|jnj-39393406|jnj-39220675|ly-2624803|gsk2245035
ethyl cosapentate||ethyl icosapentate|ethyl eicosapentaenoate|ethyl biscoumacetate|ethyl phosphate|methyl nonanoate|ethyl loflazepate|ethyl carbamate|methylphosphinate|diethyl phosphonate|cetyl caprylate
shirastaken na||sotrastaurina|simvastatina|sotrastaurin|histrelina|spiramycin a|soraphen a|abiraterona|cilastatina|eslicarbazepina|sotrastaurinum
2339131||fr236913|to-901317|fr230513|gs-9191|lx-2931|r-82913|gs 9137|amg-131|gc5131|rev131
hemocoagulase||hemicellulase|gemmicellulase|homosalate|ketoconazole|omoconazole|desmoteplase|neocartilage|collagenase|reloxaliase|humicola grisea
ethacriden lactate||seractide acetate|methadyl acetate|calcium lactate|potassium lactate|ethacridine|ethacrynate|estradiol acetate|roxatidine acetate|rusalatide acetate|telapristone acetate
artificial dialysis agent (5-1)||carbonic acid calcium salt (1:1)|acetic acid, magnesium salt (2:1)|acetic acid, sodium salt (1:1)|artemisia douglasiana pollen|artificial cow-bezoan|adipic acid ion (2-)|cytokine-based biologic agent irx-2|carbonic acid sodium salt (1:2)|l-ascorbic acid, calcium salt (2:1)|porcine dynorphin a (1-17)
2339124||fr236913|2x-121|gsk-239512|rpr131247|chir-124|azd-9164|amp-224|xen2174|sr11254|atx-914
shionogi chinese laxative s||simmondsia chinensis seed|chondroitin sulfate b|chondroitin sulfates|hinoki cypress leaf|simmondsia chinensis seed oil|schisandrae chinensis fructus|simmondsia chinensis oil|dinalbuphine sebacate|selenomethionine selenoxide|schizandra chinensis fruit
etarabon||letaxabán|metaxalon|letaxaban|edaravone|etiron|carbon|betapron|citarabina|entacapona|metaxalona
2339098||fr239087|uk-390957|sm-9018|ly-3039478|gsk2256098|pf-232798|fr-234938|gz-389988|tl-3-093|pl-3994
shinzounokusuri||stannous fluoride|thiocoumarin|stannous chloride|aminoquinuride|stiborous acid|selenoinosine|simurosertib|sinefunginum|sphingosine|sirolimusum
eswan||escin|beeswax|pecan|eosin|eisen|efrane|bean|aescin|gestatron|erlosiban
antipyretic||antipyrine|vaniprevir|antipain|acitretin|antarelix|atiprimod|danoprevir|vaniprévir|elamipretide|vaniprevirum
233||mw33|v24343|mt203|123i−|l523s|s-23|fr236913|fr230513|sc-236|s-3304
crocaplamin hydrochloride hydrate||acriflavine hydrochloride|aluminum chlorohydrate dihydrate|acetylglycinamide chloral hydrate|aluminum chlorhydrate|aluminum chlorohydrate|aluminium chlorohydrate|adiphenine hydrochloride|aluminum hydroxychloride|cobaltous chloride anhydrous|zirconium chloride hydroxide
shingi||chinin|shannai|sphingosine|sanqi|chenpi|chinine|chinidin|shan nai|rhngf|safingol
2329f0101||cpg 10101|npi 32101|jbpos0101|sr-9011|vb2-011|mf101|ff-10101-01|cv07050101|ly-295501|to-901317
estrogens conjugated||estrogens, conjugated|estrogens,conjugated|estrogens, conjugated synthetic a|estrogens, conjugated synthetic b|estrogens, esterified|estrone monooleate|estrogens,esterified|estrone sulfate|estrone sulphate|estrone 3-oleate
shikatasan||tilactasa|sitaxentan|sitaxsentan|eribaxaban|stibatin|incasan|satavaptan|nivocasan|saralasin|gimatecan
23291212||2x-121|gsk-239512|afn-1252|fr236913|ag-24322|azd1222|wrr-112|gs-9191|msx-122|as-8112
estroge||estrone|oestrone|estrona|nestorone|estriol|estronum|dextrose|nitrogen|gestrinone|eserine
antibiotic preparations||brown rice preparation|atlantic halibut preparation|lamb preparation|oats preparation|caviar preparation|salmon preparation|serenoa preparation|rhubarb preparation|schizandra preparation|corn starch preparation
shikaron||nitarson|coumaron|nitarsone|amiodarona|silanol|amiodarone|gestatron|thiamin|stibatin|celivarone
23290022||sb220025|ly-294002|ly-3200882|gsk232802|ly2140023|at3022|sch-900271|bms-790052|bms-906024|cp-320626
escitarozoram||escitalopram|escitalopramum|estazolam|citalopram|(s)-citalopram|nitrazolam|estazolamum|estanozolol|citalopramum|(+)-citalopram
biodiastase 1000 combination drug (8)||regn10933+regn10987 combination therapy|somatropin (recombinant dna origin)|somatropin(recombinant dna origin)|laronidase (genetical recombination)|abciximab (genetical recombination)|burosumab (genetical recombination)|alteplase (genetical recombination)|lenograstim (genetical recombination)|galsulfase (genetical recombination)|glucagon (recombinant dna origin)
2329||pf-232798|ns-2359|tt-232|123i−|r1295|s-23|gsk-923295|cam-2029|ag-24322|fr236913
shigenen meimeto||higenamine|ingenol mebutato|chinese mint top|song gen mycelium|ingenol mebutate|benzenemethanol|nitrogen lime|sitimagene ceradenovec|phenyl trimethicone|selenium elemental
escherichia coli||asparaginase escherichia coli|escherichia coli l-asparaginase|echinacea whole|hesperidin complex|isochorismic acid|behenic alcohol|echinacea root|asclepic acid|shen cha leaf|chenic acid
anti-rheumatic drug||pancreatic dornase|trans-4-coumaric acid|trans-p-coumaric acid|guanidineacetic acid|antimony cation (5+)|dihydrofumaric acid|trans-retinoic acid|antithrombin gamma|para-coumaric acid|beta-retinoic acid
23250060||t-2000|uk-500001|pd150606|t-900607|sb220025|mva3000|pa-1050040|gsk-256066|gsk2256098|ly2828360
shark-liver oil||shark liver oil|cod-liver oil|fish liver oil|cod liver oil|safflower oil|shargal lider root|olive oil|garlic oil|aniline oil|perceline oil
antitussive||ranimustine|nimustine|antipyrine|nitroprusside|baptitoxine|pantethine|attapulgite|tallimustine|anti-tfpi|netivudine
2325003||ly2140023|fr230513|sb220025|he-2200|gi-5005|ru85053|atg003|t-2000|v1003|ax200
escherichia col lyophilisate||escherichia coli l-asparaginase|chloramphenicol monopalmitate|technetium polyphosphate|technetium tc 99m pyrophosphate|pyrithiamine pyrophosphate|chloramphenicol palmitate|eugenia caryophyllata|estradiol cypionate|estriol propionate|technetium tc 99m polyphosphate
shark maru||hard fat|sacred bark|samarium|shan nai|shark liver oil|starch, maize|saruplasum|carbomerum|sirukumab|sarilumab
2323003||fr230513|ly2140023|sb220025|lgd-3303|he-2200|mva3000|t-2000|zyc300|atg003|al5300
anti-allergic drug||n-valeric acid|casein allergenic extract|anti-alpha4 integrin|anileridinum|sardine allergenic extract|salmon allergenic extract|pecan allergenic extract|clam allergenic extract|tuna allergenic extract|lime allergenic extract
erythrosine||erythrite|erythromycin|érythromycine|metyrosine|metirosine|erythromycin a|methyltyrosine|erythromycinum|erythromycin c|erythrit
shakuyaku-kanzo-to||.alpha.-mangostin|shu di huang root|.alpha.-mangosten|sulfafurazolum|sulphafurazole|sulphafurazol|sulfafurazole|sulfafenazolo|sulfafurazol|shavetail grass top
ophthalmic agent||phthalic acid|phthalimetten|phthalocyanine|iothalamic acid|methalamic acid|iotalamic acid|phthalamodine|ioxitalamic acid|phthalapromine|phthalamudine
23160090||trc150094|mva3000|cx-2009|r-30490|t-2000|pa-1050040|ly2140023|tg-100801|pro 2000|slx-4090
erythro||erythrol|erythrit|erythritol|erythrite|erythromycin|l-erythritol|ethyron|eleuthero|recothrom|danthron
shajin||isatin|thiamin|suramin|theanin|saccharin|zeatin|hemin|chinin|elafin|apstatin
2314001||vpm4001|ly2140023|tg-100801|etc-1001|xmt-1001|ino-1001|ore-1001|cam-3001|abl-001|xtl-001
erleada||ceruletida|terfenadina|pegada|steelhead|erlosamide|ephedra|exenatida|ceruletide|pergolida|ersatta
anti-allergic agent||n-valeric acid|anti-alpha4 integrin|casein allergenic extract|sardine allergenic extract|salmon allergenic extract|pecan allergenic extract|lime allergenic extract|rice allergenic extract|clam allergenic extract|tuna allergenic extract
sgn-35||sgn-30|sgn-15|mn-305|scy-635|sgn-2ff|psn357|sns-032|sjg-136|sgx-523|gw-3965
2299004||ly-294002|ags-004|sr-9009|bms-906024|ly-2090314|cg-200745|sb-269970|sb220025|gdc-0084|t-900607
erik||heroin|serine|merlin|serina|tetris|etretin|paprika|levorin|serinum|eparina
live attenuated rubella vaccine||inactivated sars-cov-2 vaccine|muc1 dendritic cell vaccine|varicella vaccine|live attenuated measles virus (schwartz strain)|purified inactivated sars-cov-2 vaccine|dendritic cells vaccine|hpv e7 peptide epitope vaccine|lentiviral minigene vaccine|hepatitis a vaccine|hepatitis b vaccine
22946716||gw 468816|gw-468816|bms-986016|ly2275796|abc294640|vs-4718|lgd2941|fg-2216|kzr-616|su9516
sglt2 inhibitor||c1 inhibitor|kras g12c inhibitor 9|human c1 inhibitor|cdk1/2 inhibitor iii|calpain inhibitor iv|dynamin inhibitor i|fibrinolysis inhibitor|naphthyridine inhibitor|hiv integrase inhibitor|mdm2 inhibitor amg-232
erbitux||serinum|barbital|sorbitan|ribitol|ecabetum|sorbitol|metarbital|metharbitalum|metharbital|merbrominum
ant||atp|pantol|oat|peanut|an-9|mannit|oxantel|mannite|manitol|dantron
2260710||ck-2127107|ht-0712|kd3010|tg4010|lx6171|cg0070|g207|ro-6870810|ly-2608204|gw-274150
sg-blended granules||extramel microgranules|ae-bermuda grass|o6-benzylguanine|2-hendecanone|lavender oil france|soybean isoflavones|soybean isoflavoues|cp-coeleneterazine|br-coeleneterazine|1,4-benzenediamine
equmet hd tablets||equisetum arvense|matcha tea leaf|equisetum calderi top|dexamethasoni acetas|levomethadyl acetate|dimethyl phthalate|dimethyl carbate|culex pallens|epoetina beta|epoetin theta
22597907||gsk159797|ck-2127107|ly2275796|cp-94707|ru79073|ru79072|pt2977|822i9lej7s|bms-929075|cnv2197944
ammonium salt||ammonium lactate|ammonium molybdate|ammonium carbonate|ambenonium base|ammonium chloride|aluminium sulfate|aluminium atom|aluminium stearate|diammonium carbonate|ammonium bicarbonate
sevofluren||sevofluran|sevoflurane|sevoflurano|sevofluranum|sepofarsen|perflutren|isoflurane|levofolene|isoflurano|perflutreno
benchluhydrochlorothiazide||hydrochlorothiazide|isobutylhydrochlorothiazide|hydrochlorothiazidum|benzhydroflumethiazide|hidroclorotiazida|bendrofluméthiazide|bendroflumethiazide|chlorothiazide|methyclothiazide|hydroflumethiazide
2259078||gsk2256098|gw-590735|fr239087|ru79072|ru79073|sm-9018|al5927|g207|822i9lej7s|cra_9678
equine anti-human thymocyte globuline||rabbit anti-human thymocyte globulin|rabbit anti-human thymocyte immunoglobulin|rabbit anti-human thymocyte globulin (ratg)|horse anti-thymocyte globulin|rabbit antithymocyte globulin|equine thymocyte immune globulin|anti-human thymocyte immunoglobulin, rabbit|rabbit anti-thymocyte immunoglobulin|anti-thymocyte globulin equine|anti-thymocyte globulin rabbit
sesamin||suramin|setamycin|sestamibi|edamine|neamine|selagine|ketamine|suramine|ketamina|hexamine
225470||ly-2584702|fr221647|tnp-470|ly-2452473|ly2275796|ly2062430|ly341770|du125530|ap-22408|plx-4720
amg 706||amg 102|amg 108|ag-702|amg-208|amd-070|amg-510|emd 273063|amg-337|amgn-0007|agi-1096
epoetin||etretin|seproxetine|darbepoetin|pectin|leptin|bepecin|emetine|secretin|crocetin|tepotinib
sertepnone||verbenone|rotenone|teprenone|sertindole|esaxerenone|serenoa|adrenone|etafenone|gestrinone|eplerenone
223302||s-3304|gsk-2330672|gsk232802|sb220025|v24343|at3022|jnj-42396302|ly-2456302|ly2828360|ly2062430
b12 combination drug (3)||chromium cation (3+)|indium cation in-111 (3+)|chromium cation (cr3+)|chromium ion (3+)|blood coagulation factor xiv|recombinant interleukin-12|recombinant interleukin-11|recombinant human gad65|recombinant human tnf|recombinant factor ix
epivir||epinin|racivir|epinine|fapilavir|peramivir|telinavir|besifovir|emivirine|lopinavir|epirizol
akyo||mayou|rayon|adynovi|alkohol|amylose|argyrol|kyanol|α-kdo|cacao|mango
2229115||sb220025|ccx915|cc-115|r1295|bms-911543|bms-986115|ncx 1015|aqx-1125|gs-9191|lgd2941
sernichiboren extract||beech pollen extract|river birch pollen extract|water birch pollen extract|paper birch pollen extract|arnica flowers extract|german chamomile extract|cherry birch pollen extract|sisal fiber extract|aspen pollen extract|green ash pollen extract
epitope peptide vaccine||vegfr2-169 peptide vaccine|pr1 leukemia peptide vaccine|hpv e7 peptide epitope vaccine|typhoid vaccine|hepatitis a vaccine|hepatitis b vaccine|yellow fever vaccine|pertussis vaccine|dendritic cells vaccine|oral polio vaccine
22214000||ly2140023|t-2000|gi-4000|ly-294002|pro 2000|ncx-1000|pa-1050040|tg-100801|nuc b1000|fr221647
seren nikar||serenoa|fenretinida|teprenona|terfenadina|perfenazina|secretin human|serine vanadate|secretin (pig)|silver nitrate|sterile water
acrinol hydrate||terpinol hydrate|terpin hydrate|chloral hydrate|terpinene hydrate|silica hydrate|terpin monohydrate|citronellal hydrate|sodium hydrate|silica, hydrated|cis-terpin hydrate
ag-013736||mk-0736|apg-1387|agi-1096|bi-k0376|gc-373|azd-1386|azd-1236|amg-131|amg-337|sjg-136
219404||r1204|vtp-194204|agn-201904|cnv2197944|m40403|xr5944|pr-104|as1409|cnv-2197944|abc294640
seraga||senega|serina|serenoa|selagine|serine|pegada|sage|stelera|iseganan|lerafaon
epimedium powder||magnesium powder|aluminum powder|milk powder|pearl powder|oatmeal powder|amber powder|emetonium iodide|cellulose, powder|turmeric root powder|iron powder
2191406||ly2181308|fr117016|mk-1496|cad106|as1409|rb106|sd146|sr 121463|bio-11006|ly2140023
unknown||bunazosin|auranofin|guanoxan|guanosin|nikotin|inkazan|onion|urson|xenon|neon
achillea||vanilla|chiltepe|chickpea|echinacea|acri-deca|nafcilline|ossacillina|machixian|oxacilina|oracillin
epidural anaesthesia||ephedra flava stem|ephedra sinica stem|purslane herb|desglucolanatoside a|spirulina platensis|epi-gallocatechin|idursulfase beta|portulacae herba|epigallocatechin|ephedrae herba
senofibiratotakedabira||teofilinato de colina|tenofovir alafenamide|fenofibrate|fenofibrato|fenilpropanolamina|fenofibric acid|mononitrato de isosorbida|fenofibratum|finofibrate|recombinant thrombin
219040007||t-900607|amgn-0007|ly2140023|gi-4000|pa-1050040|pf-5190457|uk-500001|ly-294002|ncx-1000|cp-94707
epi||bepio|chenpi|pepsin|epinin|leptin|bepecin|doxepin|bepadin|eparina|chen pi
219010||tg4010|kd3010|pd-217014|sr-9011|sm-9018|nv1020|t-2000|e-2012|ax200|v1003
721||egs21|lx201|pzm21|ic261|xl281|qs-21|pas219|pg-701|rg2417|tp-271
sennoside a + b calciu||cyanamide calcique|sennae folium concisum|saccharate de calcium|carbonate de calcium|glucoheptonate de calcium|hypochlorite de calcium|defibrotide free acid|carbonato de calcio|n-tridecanoic acid|carbimide calcique
tyroxapol||tyloxapol|hydrapol|proxazole|tyrosinal|athyromazole|tramadol|propanol|bronopol|pyridoxal|pyridoxol
218901||c18:0|ly2181308|cra_1801|sr-9011|psn9301|sm-9018|tak-901|fg-9041|tnx-901|vir201
seletil||selenio|lentil|selenium|secretin|selegiline|selamectin|selegilina|selen|mebenil|gelatin
enzyme preparation (general drug)||rehmanniae preparata radix et ehizoma|menthae piperitae aetheroleum|honey preparation|plasma protein fraction (human)|serenoa preparation|benzoin extract (resinoid)|coenzyme a, s-(hydrogen propanedioate)|chinese ephedra root (ephedra sinica)|lamb preparation|synthetic preimplantation factor
218||an-2718|nv-18|ir208|ec-18|mf268|xl228|c18:0|xl418|sd118|ehc18
6319403||as1409|m40403|v1003|am103|pv903|vtp-194204|cp-195543|ly2140023|sr 140333|cp-94707
sefcapen pivoxil||sulbactam pivoxil|adefovir pivoxil|sulbactam pivoxyl|adefovir dipivoxil|amdinocillin pivoxil|cefcapeno|sesame oil|besifovir dipivoxil|faropenem medoxil|atecegatran metoxil
enzodiaz epine||benzodiazepine|prenoxdiazine|benzothiazide|benzoin resin|benzocaine|felodipine|benidipine|nimodipine|benzazoline|benztiazide
2171800||bi-671800|nav 1800|ru78300|ck-2127107|ly2181308|cc-11050|e-7820|cg7870|lb-100|al7182
sennoside a + b calcium||sennae folium concisum|saccharate de calcium|carbonate de calcium|glucoheptonate de calcium|hypochlorite de calcium|cyanamide calcique|elemental calcium|carbasalate calcium|glubionate calcium|colloidal cadmium
624||ri 624|gs-6624|r1626|gc-24|r1204|iso24|t-62|p54|mp4|nbi-6024
scratch dry||sweet cherry|sour cherry|starch, corn|stachydrine|strawberry|cranberry|cat hair|saccharated iron|cowitch seed|starch 1551
2171622||tro19622|mk-7622|bos172722|su-11652|y-27632|azd1222|2x-121|al7182|at1022|r1626
enteric nutritional supplement||artemisia ludoviciana pollen|juniperus virginiana pollen|artemisia tridentata pollen|synthetic porcine secretin|quercus virginiana pollen|artemisia frigida pollen|quercus velutina pollen|antivenin,crotalidae polyvalent|atrial natriuretic polypeptide|oenothera muricata seed oil
217101||lx-7101|av-101|it-101|cxd101|so-101|bzl101|2x-121|mf101|atl1101|st-101
schizonepeta||schizandra|chiltepe|thiopental|thiotepa|cinepazet|chickpea|echinacea|cidoxepina|choline acetate|clazosentan
