dialinate||alginate|dinaline|dialyvite|driminate|sinapinate|dinate|dialyte|folinate|dibunate|hylinate
* no subject drug||generic drug|no touch chest rub|nytol tablet 25mg|broad spectrum|dr su secret perfume|diorskin eclat doux|fre broad spectrum|apanol muscle rub|zinc tablets 25mg|zinc tablets 50mg
antithymocyte globulin||antithymocyte immunoglobulin|horse anti-thymocyte globulin|rabbit antithymocyte globulin|anti-thymocyte globulin equine|anti-thymocyte globulin rabbit|anti-thymocyte globulin (rabbit)|anti-thymocyte globulin (equine)|rabbit anti-human thymocyte globulin|rabbit anti-thymocyte immunoglobulin|antithymocyte immunoglobulin (rabbit)
* incb039110||incb001158|incb050465|incb13739|incb-9471|incb7839|k1 liq r04911|incb-057643|incb054828|incb3284|zinc tab 10mg
sho||senshio|9s-hode|spherox|sochlor|hscoa|chooz|gpcho|secol|gshna|nespo
dried pit viper antitoxin||digitalis antitoxin|dewmed wet wipes antibacterial|paraid triple antibiotic|first aid triple antibiotic|meijer triple antibiotic|green guard triple antibiotic|medi-first triple antibiotic|sheffield triple antibiotic|shoprite triple antibiotic|circle k triple antibiotic
anticonvulsant||anti-nauseant|antimonous acid|anti nausea|antiflautent|antiperspirant|exicorilant|ratio-aclavulanate|miricorilant|anti-vla4|arthronsan
* fl||im fill|zyflo|kofal|g sol|cat flea|x folate|dog flea|soflax|kefzol|axifol
shitsurishi||whitefish|white fish|isturisa|quinupristin|horseradish|moistursil|lisuridum|white ash|shingrix|lisurida
granulocyte colony||granulotion|androstendolone|granulocyte colony stimulating factor|ranitidine cool mint|19-norandrostenolone|bromuro de ciclonio|methandrostenolone|lactulose solution|arnica ice cooling|allyl trenbolone
drainage pus||draximage maa|draximage dtpa|inhibace plus|echinacea plus|actinac pws|prena1 plus|mucinar plus|epicare plus|calamine plus|dermasan plus
anti-thymocyte globulin||horse anti-thymocyte globulin|anti-thymocyte globulin equine|anti-thymocyte globulin rabbit|antithymocyte immunoglobulin|rabbit antithymocyte globulin|anti-thymocyte globulin (equine)|anti-thymocyte globulin (rabbit)|rabbit anti-thymocyte immunoglobulin|rabbit anti-human thymocyte globulin|anti-d immunoglobulin
shitaki sentan||sitaxsentan|sitaxentan|sparsentan|atrasentan|ambrisentan|act bosentan|teva-bosentan|sandoz bosentan|apo-ambrisentan|macitentan
shiratsuru reishi||heratburn relief|signature care tussin|heartburn relief|start so fresh|shikatri class|spiritus vini|signature care aspirin|shoprite mucus relief|sterculia resin|signature care
graceptor||viracept|aricept|crestor|trecator|protector|ivacaftor|oxaceprol|olacaftor|galicaftor|rescriptor
adrenal hormone preparations||salmon preparation|garden snail mucin preparation|eleuthero preparation|brown rice preparation|serenoa preparation|damiana leaf preparation|aloe ferox leaf preparation|siberian ginseng preparation|carduus marianus preparation|honey preparation
shirastaken na||sotrastaurina|simvastatina|spiramycin a|cilastatina|hematogen fa|soraphen a|niastase rt|histrelina|sotrastaurin|abiraterona
b_tak-700||tak-901|tak-733|tak-715|tak-580|abp-700|antibac-7000|tak-475|bidex-400|bi-671800|bak 1 750
absorbent tissue reinforcement||absorbine jr liniment|pore rescue acne biolements|absorbine jr. pain relief|absorbine jr extra strength liniment|jason dandruff relief treatment|absorbine jr pain relief wipes|baciguent first aid ointment|absorbine jr. lidocaine|extra strength diaper rash ointment|extra strength sinus relief-caplet
shinzounokusuri||stannous fluoride|rhizopus mix|thiocoumarin|stannous chloride|yiyongkesoutie|aminoquinuride|stiborous acid|selenoinosine|sinus 12 hour|sinefunginum
goreishi||torisel|trofresh|horse skin|kortison|oris chx|codfish|orsythia|norgesic|ornithine|orris
s-1||qs-21|mc-1|ls11|gts-21|sgn-15|s-23|sb-123|sb-132|sm-153|rh-1
shikatasan||star-san|insta san|tilactasa|shikatri class|softsan|soriatane|azasan|striascan|sitaxentan|simvastatin
shikaron||klaron|saluron|mivacron|nitarson|sylatron|sibarc|vivarin|shingrix|axiron|histatrol
gonadotropin||genotropin|gonadorelin|somatotropin|gonadoréline|gonadorelina|menotropin|somatropin|norditropin|gonadorelinum|cosyntropin
robenzalit disodium||etidronate disodium|balsalazide disodium|pamidronate disodium|thiopental sodium|rabeprazole sodium|seconal sodium|reviparin sodium|cefazolin sodium|risedronate sodium|bisulfite de sodium
psycho||sysco|gpcho|pistachio|psp go|sochlor|psorcon|peach|psicose|syncol|phycitol
shigenen meimeto||higenamine|chicken meat|ingenol mebutato|chinese mint top|sinufrin neilmed|sinus medication|childrens pepto|green gemstone|hygiene hero|senna time s
goddess dispersal||goodsense diaper rash|honest diaper rash|magnesium diasporal|methadose dispersible|golden sunshine herbal|doctor os diaper balm|agrostis dispar top|womens sports balm|leader diaper rash|good sense nasal
ots102||tas-102|cts-1027|tg1024|at1022|sot-107|atl1102|oc-1012|cb 102|it-101|hs100
gnrha||gengraf|winrho|generlac|opgenra|xyntha|gshna|myrrha|angryhead|northera|nor-noha
shakuyaku-kanzo-to||suyan chungsoo|.alpha.-mangosten|shu di huang root|.alpha.-mangostin|sulphafurazole|sulfafurazolum|hae yan tooth|sulfafurazole|sulphafurazol|sulfafenazolo
shajin||shaboink|saline|isatin|thiamin|theanin|sarapin|suramin|seratin|synthamin|saccharin
glucuronic acid amide||glutamic acid amide|nicotinic acid amide|propionic acid amide|glutamic acid 5-amide|gluconic acid lactone|salicylic acid amide|hyaluronic acid micro|pyrazinoic acid amide|l-glutamic acid γ-amide|thioctic acid amide
hachimimaru||hachimycin|machixian|dacliximab|actimmune|calcimar|abciximab|chittambark|ma chi xian|daclizumab|zampilimab
glu||pteglu|gold|galvus|plum|glucose|gallium|γglucys|glucosa|gelusil|glustin
gohosan||ahosan|goose|lodosyn|basosan|toposar|kanosan|polysan|covisan|softsan|gliolan
sg-blended granules||colestid granules|senokot granules|aspirin granules|pancrex granules|slender ragweed|urasal granules|entacyl granules|e-z-gas 2 granules|colestid orange granules|alka-klense capsules
glp-1 passive agonist||glp-1 balance synergy|alpha-1 protease inhibitor|long lasting nasal mist|gentle laxative womens|dipotassium carbonate|help i have allergies|potassium carbonate|jasmine eco mist|laxative gentle|xeepur sanitizer hand mist
clostridium butyricum||clostridium botulinum|clostridium putrificum whole|clostridium tetani|clostridium botulinum whole|clostridium tetani whole|clostridium histolyticum enzymes|acidum citricum|sarocladium strictum|oidium cutaneum|sodium butyrate
gio extract||ginkgo extract|tea extract|cocoa extract|phoma extract|mucor extract|ginseng extract|mate extract|malt extract|honey extract|caviar extract
ginjusan||dimusan|incasan|ginseng|digisan|sinequan|sinus pain|inulin|insta san|diclosan|indican
sertepnone||verbenone|rotenone|teprenone|sertindole|esaxerenone|serenoa|serzone|adrenone|serophene|nexterone
gil||gialax|gold|dill|magsil|gemmily|gavilax|gilenya|nuvigil|gliolan|gelusil
sernichiboren extract||beech pollen extract|water birch pollen extract|river birch pollen extract|paper birch pollen extract|arnica flowers extract|german chamomile extract|cherry birch pollen extract|sisal fiber extract|aspen pollen extract|green ash pollen extract
giaranogen||fibrinogen|carbogen|nitrogen|narcogen|guaranine|dixanthogen|guardian gel|arranon|carageen|nicaraven
seren nikar||seren guard|serenoa|sensipar|serentil|secure antibac|serevent diskus|teprenona|western juniper|exefen ir|terfenadina
geranium thunbergii herb||pinus thunbergii pollen|magnolia thurberi bark|quercus muehlenbergii pollen|indigofera bergii leaf|dermanumb anesthetic gel|germ out hand sanitizer|persani hand sanitizer|herbon lemon honey herbal|germiderm hand sanitizer|tiger balm arthritis rub
seraga||xerava|serina|ledaga|senega|septra|surgam|servira|stelara|serdaen|saerasu
senofibiratotakedabira||fenofibrate micro|pms-fenofibrate supra|tenofovir alafenamide|pms-fenofibrate micro|teofilinato de colina|q-fenofibrate micro|fenofibrate film coated|dom-fenofibrate supra|phl-fenofibrate supra|fenofibrate-s
genetically modified methionyl human stem cell factor||dental pulp mesenchymal stem cells|dental mesenchymal pulp stem cells|mesenchymoangioblast-derived mesenchymal stem cells|human umbilical cord mesenchymal stem cells|avon healthy remedies menthol celadrin pain relief cream|olfactory mucosa mesenchymal stem cells|anti-bacterial hand be a good human simple citrus|logically skin professional sun block spf50 pa|placental mesenchymal stem cells|allogenic pooled olfactory mucosa-derived mesenchymal stem cells
spore-forming lactobacillus preparation||rosmarinus officinalis preparation|aloe ferox leaf preparation|bos taurus gallstone preparation|matricaria recutita preparation|garden snail mucin preparation|siberian ginseng preparation|corn starch preparation|actiprep preoperative skin preparation|carduus marianus preparation|serenoa preparation
generic unknown||generic drug|enteric aspirin|ferric cation|general numb|fenprocumon|denenicokin|ferric ion|geneticin|generic hand sanitizer|esoterica unscented
γ-globulin preparation||salmon preparation|skin preparation|cold preparation|lamb preparation|honey preparation|culex pipiens preparation|oats preparation|rhubarb preparation|blue crab preparation|eleuthero preparation
sodium benzoate||sodium borate|sodium edetate|sodium vanadate|sodium butyrate|sodium carbonate|sodium oxybate|sodium acetate|sodium apolate|sodium nitrate|sodium choleate
zip||conzip|zipsor|zinc|zentrip|zioptan|azopt|aztdp|wipes|zomig|rezil
sefcapen pivoxil||cefditoren pivoxil|sulbactam pivoxil|adefovir pivoxil|sulbactam pivoxyl|adefovir dipivoxil|cefcapeno|amdinocillin pivoxil|faropenem medoxil|sesame oil|besifovir dipivoxil
general anesthesia (general drug)||spinal anesthesia tray 1%|epidural anesthesia tray|spinal anesthesia tray|spinal anaesthesia tray|ultracare oral anesthetic butter rum|gelato anestesico topical gel|topical anesthetic pina colada|topical anesthetic strawberry|topical anesthetic cherry|genteal tears (moderate)
ym150||am103|amg-50|sm-153|pym50018|vpm1002|vlx1570|amg-510|gpx-150|numb520|prm-151
proton pump inhibitor||human c1 inhibitor|kras g12c inhibitor 9|fibrinolysis inhibitor|naphthyridine inhibitor|alpha1-proteinase inhibitor|plasma protease c1 inhibitor|recombinant human c1 inhibitor|recombinant human c1-inhibitor|protein c (coagulation inhibitor)|alpha 1-proteinase inhibitor
scratch dry||rough dry|sanatos day|icy hot dry|e-z-cat dry|sweet cherry|sour cherry|scotch pine|scar patch|secret dry rose|therapatch warm
general anesthesia||cvs oral anesthetic|epidural anesthesia tray|topical anesthetic|blue gel anesthetic|spinal anesthesia tray|numb gel anesthetic|cetacaine anesthetic|nrg topical anesthetic|hemorrhoidal anesthetic|spinal anaesthesia tray
white sugar||white mustard|white alder|white poplar|white oak|meat sugar|wood sugar|white stick|white grape|grape sugar|white cream
oranexizing gluconate||chlorhexidine gluconate|chlorhexidine gluconante|quinidine gluconate|magnesium gluconate|manganese(ii) gluconate|zinc gluconate|manganese gluconate|potassium gluconate|nupro chlorhexidine gluconate|ferric gluconate
schizonepeta||schizandra|chick pea|sinemet|thiotepa|cidoxepina|chiltepe|thiopental|cinepazet|chickpea|echinacea
gelpart||elspar|zelapar|gpert|aspart|repara|relpax|gemzar|mepact|gelrite|gelatin
white||whituben|xvite|elite|histex|wilate|thritex|phycite|white ash|top white|egg white
gelpad||relpax|dgebpa|grepid|elspar|velcade|zelapar|gpl pak|kerol ad|pepap|cpad
sasa through||stona cough|casanthranol|gadavyt cough|lake trout|soft touch|sore throat|salt tooth|soma prouri|tussin cough|day time cough
inorganic preparation (general drug)||organic peppermint herb throat drops|isotonix atx vitamin mineral formula|pharmacys prescription vapor rub|baborganic pure line reducing|volcanic pore heating gel|organic tea tree treatment gel|pharmacys prescription hydrogen peroxide|heartburn prevention original strength|pharmacys prescription analgesic gel|mormaii grip action protector solar
gel parts||gelphresh|elspar|zelapar|xelpros|gpl pak|veliparib|gelatin|gelrite|neparvis|gentlax s
sar650984||sar-125844|sar153191|sar-405838|clara 1984|gsk2256098|trc150094|rwj-51084|can-508|xr5944|cr6086
fty720||fxt 20|ot-730|tpr20|at2220|ty800|dts-201|atx-201|fav-201|fxt 10|fxt 40
gel part||elspar|gpl pak|zelapar|elm bark|elf perm|veliparib|fel tauri|bee smart|gefapixant|gemeprost
sar342434||sar-125844|sar-405838|sr 121463|srt-2104|sri-9439|sr11254|tak-243|al5424|ar-42|bay1142524
sanyaku powder||antiflu powder|magnesium powder|acacia powder|oatmeal powder|aluminum powder|canesten powder|sucralfate powder|milk powder|amber powder|mycil powder
antiplatelet drug||pantoprazole sodium|anti allergy|antiflautent|antibacterial wet wipe|entex la tablets srt|antibiotic eye drops|antiseptic hand rub|anti-bacterial hand|antiplaque solution|antibacterial gold
sante 40||sanitize 80|bare 40|santigel 80%|sanitize 70c|santigel|sanitize 75|sanix80|sansert|sanitaxe|sbs 40
gcap||ca4p|glcab|grape|icaps|guaap|grasp|glcaβ|scapes|capex|gppcp
amg706||ag-702|amg-50|amg-208|amg 108|amg 102|nm-702|atg003|amg-337|amd-070|atg002
gc||gpcho|esgic|glcab|prgcd|g-csf|glcaβ|gppcp|gc-24|egg|mcc
sugar agent||sugar beet|sugar cane|sugarcane|sugar maple|salagen|supraene|super gel|sugar plum|sugammadex|country gent
salt intake||saline|alginate|sanitaxe|sultiame|all state|sulthiame|palmitate|salt cedar|wal-finate|salt grass
ringer acetate solution (with glucose) (2)||sopamycetin solution ophthalmique 0.2%|clinique acne solutions night treatment gel|clinique acne solutions quick clearing pads|disinfectant solution for hand-use|clinique acne solutions spot treatment gel|ics perfect solution anti wrinkle eye|replenix acne solutions acne gel 2.5%|live better hydrocortisone with aloe|sirface hydrating lotion with spf 15|replenix acne solutions acne gel 5%
gas preparation for inhalation||sterile water for inhalation|sterile water for inhalation usp|preparation h for women|oxaliplatin for injection|bacitracin for injection|caspofungin for injection|piperacillin for injection|preparation h hydrocortisone|melphalan for injection|daptomycin for injection
ganglion blocker||passion flower|scent blocker|dandelion pollen|dandelion leaf|mango blossom|carbon black|maison blanche|elastology age blocker|lanolin alcohols|lanolin alcohol
pamiteprase (genetical recombination)||alteplase (genetical recombination)|laronidase (genetical recombination)|galsulfase (genetical recombination)|somatrem (genetical recombination)|aflibercept (genetical recombination)|somapacitan (genetical recombination)|abciximab (genetical recombination)|adalimumab (genetical recombination)|liraglutide (genetical recombination)|lenograstim (genetical recombination)
